PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
113,3,male,22.0,0,0,8.05,S
114,3,female,20.0,1,0,9.825,S
118,2,male,29.0,1,0,21.0,S
119,1,male,24.0,0,1,247.5208,C
120,3,female,2.0,4,2,31.275,S
121,2,male,21.0,2,0,73.5,S
122,3,male,,0,0,8.05,S
123,2,male,32.5,1,0,30.0708,C
124,2,female,32.5,0,0,13.0,S
127,3,male,,0,0,7.75,Q
130,3,male,45.0,0,0,6.975,S
131,3,male,33.0,0,0,7.8958,C
132,3,male,20.0,0,0,7.05,S
134,2,female,29.0,1,0,26.0,S
137,1,female,19.0,0,2,26.2833,S
138,1,male,37.0,1,0,53.1,S
139,3,male,16.0,0,0,9.2167,S
140,1,male,24.0,0,0,79.2,C
141,3,female,,0,2,15.2458,C
143,3,female,24.0,1,0,15.85,S
144,3,male,19.0,0,0,6.75,Q
146,2,male,19.0,1,1,36.75,S
147,3,male,27.0,0,0,7.7958,S
149,2,male,36.5,0,2,26.0,S
150,2,male,42.0,0,0,13.0,S
151,2,male,51.0,0,0,12.525,S
152,1,female,22.0,1,0,66.6,S
155,3,male,,0,0,7.3125,S
156,1,male,51.0,0,1,61.3792,C
157,3,female,16.0,0,0,7.7333,Q
159,3,male,,0,0,8.6625,S
160,3,male,,8,2,69.55,S
161,3,male,44.0,0,1,16.1,S
163,3,male,26.0,0,0,7.775,S
164,3,male,17.0,0,0,8.6625,S
166,3,male,9.0,0,2,20.525,S
167,1,female,,0,1,55.0,S
168,3,female,45.0,1,4,27.9,S
169,1,male,,0,0,25.925,S
170,3,male,28.0,0,0,56.4958,S
171,1,male,61.0,0,0,33.5,S
172,3,male,4.0,4,1,29.125,Q
175,1,male,56.0,0,0,30.6958,C
176,3,male,18.0,1,1,7.8542,S
177,3,male,,3,1,25.4667,S
178,1,female,50.0,0,0,28.7125,C
179,2,male,30.0,0,0,13.0,S
181,3,female,,8,2,69.55,S
182,2,male,,0,0,15.05,C
183,3,male,9.0,4,2,31.3875,S
187,3,female,,1,0,15.5,Q
189,3,male,40.0,1,1,15.5,Q
191,2,female,32.0,0,0,13.0,S
192,2,male,19.0,0,0,13.0,S
194,2,male,3.0,1,1,26.0,S
195,1,female,44.0,0,0,27.7208,C
197,3,male,,0,0,7.75,Q
198,3,male,42.0,0,1,8.4042,S
201,3,male,28.0,0,0,9.5,S
202,3,male,,8,2,69.55,S
204,3,male,45.5,0,0,7.225,C
205,3,male,18.0,0,0,8.05,S
206,3,female,2.0,0,1,10.4625,S
207,3,male,32.0,1,0,15.85,S
208,3,male,26.0,0,0,18.7875,C
209,3,female,16.0,0,0,7.75,Q
210,1,male,40.0,0,0,31.0,C
213,3,male,22.0,0,0,7.25,S
215,3,male,,1,0,7.75,Q
216,1,female,31.0,1,0,113.275,C
217,3,female,27.0,0,0,7.925,S
220,2,male,30.0,0,0,10.5,S
221,3,male,16.0,0,0,8.05,S
222,2,male,27.0,0,0,13.0,S
224,3,male,,0,0,7.8958,S
225,1,male,38.0,1,0,90.0,S
226,3,male,22.0,0,0,9.35,S
227,2,male,19.0,0,0,10.5,S
229,2,male,18.0,0,0,13.0,S
231,1,female,35.0,1,0,83.475,S
232,3,male,29.0,0,0,7.775,S
235,2,male,24.0,0,0,10.5,S
236,3,female,,0,0,7.55,S
238,2,female,8.0,0,2,26.25,S
239,2,male,19.0,0,0,10.5,S
240,2,male,33.0,0,0,12.275,S
241,3,female,,1,0,14.4542,C
243,2,male,29.0,0,0,10.5,S
245,3,male,30.0,0,0,7.225,C
246,1,male,44.0,2,0,90.0,Q
250,2,male,54.0,1,0,26.0,S
252,3,female,29.0,1,1,10.4625,S
254,3,male,30.0,1,0,16.1,S
256,3,female,29.0,0,2,15.2458,C
257,1,female,,0,0,79.2,C
261,3,male,,0,0,7.75,Q
262,3,male,3.0,4,2,31.3875,S
263,1,male,52.0,1,1,79.65,S
264,1,male,40.0,0,0,0.0,S
265,3,female,,0,0,7.75,Q
266,2,male,36.0,0,0,10.5,S
268,3,male,25.0,1,0,7.775,S
270,1,female,35.0,0,0,135.6333,S
271,1,male,,0,0,31.0,S
274,1,male,37.0,0,1,29.7,C
275,3,female,,0,0,7.75,Q
276,1,female,63.0,1,0,77.9583,S
278,2,male,,0,0,0.0,S
280,3,female,35.0,1,1,20.25,S
281,3,male,65.0,0,0,7.75,Q
282,3,male,28.0,0,0,7.8542,S
283,3,male,16.0,0,0,9.5,S
284,3,male,19.0,0,0,8.05,S
285,1,male,,0,0,26.0,S
286,3,male,33.0,0,0,8.6625,C
287,3,male,30.0,0,0,9.5,S
288,3,male,22.0,0,0,7.8958,S
289,2,male,42.0,0,0,13.0,S
290,3,female,22.0,0,0,7.75,Q
291,1,female,26.0,0,0,78.85,S
292,1,female,19.0,1,0,91.0792,C
294,3,female,24.0,0,0,8.85,S
296,1,male,,0,0,27.7208,C
297,3,male,23.5,0,0,7.2292,C
298,1,female,2.0,1,2,151.55,S
299,1,male,,0,0,30.5,S
300,1,female,50.0,0,1,247.5208,C
301,3,female,,0,0,7.75,Q
302,3,male,,2,0,23.25,Q
304,2,female,,0,0,12.35,Q
305,3,male,,0,0,8.05,S
307,1,female,,0,0,110.8833,C
310,1,female,30.0,0,0,56.9292,C
311,1,female,24.0,0,0,83.1583,C
312,1,female,18.0,2,2,262.375,C
313,2,female,26.0,1,1,26.0,S
316,3,female,26.0,0,0,7.8542,S
317,2,female,24.0,1,0,26.0,S
318,2,male,54.0,0,0,14.0,S
319,1,female,31.0,0,2,164.8667,S
320,1,female,40.0,1,1,134.5,C
321,3,male,22.0,0,0,7.25,S
322,3,male,27.0,0,0,7.8958,S
324,2,female,22.0,1,1,29.0,S
325,3,male,,8,2,69.55,S
326,1,female,36.0,0,0,135.6333,C
328,2,female,36.0,0,0,13.0,S
329,3,female,31.0,1,1,20.525,S
330,1,female,16.0,0,1,57.9792,C
332,1,male,45.5,0,0,28.5,S
333,1,male,38.0,0,1,153.4625,S
334,3,male,16.0,2,0,18.0,S
336,3,male,,0,0,7.8958,S
337,1,male,29.0,1,0,66.6,S
338,1,female,41.0,0,0,134.5,C
339,3,male,45.0,0,0,8.05,S
340,1,male,45.0,0,0,35.5,S
341,2,male,2.0,1,1,26.0,S
342,1,female,24.0,3,2,263.0,S
343,2,male,28.0,0,0,13.0,S
344,2,male,25.0,0,0,13.0,S
345,2,male,36.0,0,0,13.0,S
346,2,female,24.0,0,0,13.0,S
348,3,female,,1,0,16.1,S
349,3,male,3.0,1,1,15.9,S
350,3,male,42.0,0,0,8.6625,S
351,3,male,23.0,0,0,9.225,S
352,1,male,,0,0,35.0,S
354,3,male,25.0,1,0,17.8,S
357,1,female,22.0,0,1,55.0,S
358,2,female,38.0,0,0,13.0,S
359,3,female,,0,0,7.8792,Q
360,3,female,,0,0,7.8792,Q
361,3,male,40.0,1,4,27.9,S
362,2,male,29.0,1,0,27.7208,C
363,3,female,45.0,0,1,14.4542,C
364,3,male,35.0,0,0,7.05,S
365,3,male,,1,0,15.5,Q
366,3,male,30.0,0,0,7.25,S
367,1,female,60.0,1,0,75.25,C
372,3,male,18.0,1,0,6.4958,S
375,3,female,3.0,3,1,21.075,S
378,1,male,27.0,0,2,211.5,C
380,3,male,19.0,0,0,7.775,S
381,1,female,42.0,0,0,227.525,C
382,3,female,1.0,0,2,15.7417,C
383,3,male,32.0,0,0,7.925,S
385,3,male,,0,0,7.8958,S
386,2,male,18.0,0,0,73.5,S
388,2,female,36.0,0,0,13.0,S
389,3,male,,0,0,7.7292,Q
390,2,female,17.0,0,0,12.0,C
393,3,male,28.0,2,0,7.925,S
394,1,female,23.0,1,0,113.275,C
395,3,female,24.0,0,2,16.7,S
396,3,male,22.0,0,0,7.7958,S
400,2,female,28.0,0,0,12.65,S
401,3,male,39.0,0,0,7.925,S
403,3,female,21.0,1,0,9.825,S
404,3,male,28.0,1,0,15.85,S
405,3,female,20.0,0,0,8.6625,S
408,2,male,3.0,1,1,18.75,S
409,3,male,21.0,0,0,7.775,S
411,3,male,,0,0,7.8958,S
412,3,male,,0,0,6.8583,Q
413,1,female,33.0,1,0,90.0,Q
414,2,male,,0,0,0.0,S
415,3,male,44.0,0,0,7.925,S
416,3,female,,0,0,8.05,S
420,3,female,10.0,0,2,24.15,S
421,3,male,,0,0,7.8958,C
424,3,female,28.0,1,1,14.4,S
427,2,female,28.0,1,0,26.0,S
428,2,female,19.0,0,0,26.0,S
430,3,male,32.0,0,0,8.05,S
431,1,male,28.0,0,0,26.55,S
432,3,female,,1,0,16.1,S
433,2,female,42.0,1,0,26.0,S
434,3,male,17.0,0,0,7.125,S
436,1,female,14.0,1,2,120.0,S
437,3,female,21.0,2,2,34.375,S
438,2,female,24.0,2,3,18.75,S
439,1,male,64.0,1,4,263.0,S
440,2,male,31.0,0,0,10.5,S
441,2,female,45.0,1,1,26.25,S
443,3,male,25.0,1,0,7.775,S
444,2,female,28.0,0,0,13.0,S
445,3,male,,0,0,8.1125,S
446,1,male,4.0,0,2,81.8583,S
447,2,female,13.0,0,1,19.5,S
448,1,male,34.0,0,0,26.55,S
449,3,female,5.0,2,1,19.2583,C
450,1,male,52.0,0,0,30.5,S
451,2,male,36.0,1,2,27.75,S
452,3,male,,1,0,19.9667,S
453,1,male,30.0,0,0,27.75,C
454,1,male,49.0,1,0,89.1042,C
455,3,male,,0,0,8.05,S
456,3,male,29.0,0,0,7.8958,C
458,1,female,,1,0,51.8625,S
459,2,female,50.0,0,0,10.5,S
461,1,male,48.0,0,0,26.55,S
462,3,male,34.0,0,0,8.05,S
464,2,male,48.0,0,0,13.0,S
465,3,male,,0,0,8.05,S
466,3,male,38.0,0,0,7.05,S
467,2,male,,0,0,0.0,S
468,1,male,56.0,0,0,26.55,S
469,3,male,,0,0,7.725,Q
470,3,female,0.75,2,1,19.2583,C
471,3,male,,0,0,7.25,S
472,3,male,38.0,0,0,8.6625,S
473,2,female,33.0,1,2,27.75,S
474,2,female,23.0,0,0,13.7917,C
477,2,male,34.0,1,0,21.0,S
478,3,male,29.0,1,0,7.0458,S
479,3,male,22.0,0,0,7.5208,S
480,3,female,2.0,0,1,12.2875,S
482,2,male,,0,0,0.0,S
483,3,male,50.0,0,0,8.05,S
485,1,male,25.0,1,0,91.0792,C
486,3,female,,3,1,25.4667,S
488,1,male,58.0,0,0,29.7,C
490,3,male,9.0,1,1,15.9,S
491,3,male,,1,0,19.9667,S
493,1,male,55.0,0,0,30.5,S
494,1,male,71.0,0,0,49.5042,C
496,3,male,,0,0,14.4583,C
497,1,female,54.0,1,0,78.2667,C
498,3,male,,0,0,15.1,S
500,3,male,24.0,0,0,7.7958,S
501,3,male,17.0,0,0,8.6625,S
502,3,female,21.0,0,0,7.75,Q
503,3,female,,0,0,7.6292,Q
505,1,female,16.0,0,0,86.5,S
506,1,male,18.0,1,0,108.9,C
507,2,female,33.0,0,2,26.0,S
508,1,male,,0,0,26.55,S
509,3,male,28.0,0,0,22.525,S
510,3,male,26.0,0,0,56.4958,S
511,3,male,29.0,0,0,7.75,Q
512,3,male,,0,0,8.05,S
513,1,male,36.0,0,0,26.2875,S
514,1,female,54.0,1,0,59.4,C
516,1,male,47.0,0,0,34.0208,S
517,2,female,34.0,0,0,10.5,S
518,3,male,,0,0,24.15,Q
519,2,female,36.0,1,0,26.0,S
520,3,male,32.0,0,0,7.8958,S
521,1,female,30.0,0,0,93.5,S
522,3,male,22.0,0,0,7.8958,S
524,1,female,44.0,0,1,57.9792,C
526,3,male,40.5,0,0,7.75,Q
528,1,male,,0,0,221.7792,S
530,2,male,23.0,2,1,11.5,S
531,2,female,2.0,1,1,26.0,S
533,3,male,17.0,1,1,7.2292,C
535,3,female,30.0,0,0,8.6625,S
536,2,female,7.0,0,2,26.25,S
538,1,female,30.0,0,0,106.425,C
539,3,male,,0,0,14.5,S
541,1,female,36.0,0,2,71.0,S
542,3,female,9.0,4,2,31.275,S
543,3,female,11.0,4,2,31.275,S
544,2,male,32.0,1,0,26.0,S
545,1,male,50.0,1,0,106.425,C
546,1,male,64.0,0,0,26.0,S
547,2,female,19.0,1,0,26.0,S
548,2,male,,0,0,13.8625,C
550,2,male,8.0,1,1,36.75,S
551,1,male,17.0,0,2,110.8833,C
555,3,female,22.0,0,0,7.775,S
556,1,male,62.0,0,0,26.55,S
557,1,female,48.0,1,0,39.6,C
558,1,male,,0,0,227.525,C
559,1,female,39.0,1,1,79.65,S
560,3,female,36.0,1,0,17.4,S
562,3,male,40.0,0,0,7.8958,S
563,2,male,28.0,0,0,13.5,S
566,3,male,24.0,2,0,24.15,S
567,3,male,19.0,0,0,7.8958,S
569,3,male,,0,0,7.2292,C
570,3,male,32.0,0,0,7.8542,S
572,1,female,53.0,2,0,51.4792,S
573,1,male,36.0,0,0,26.3875,S
575,3,male,16.0,0,0,8.05,S
578,1,female,39.0,1,0,55.9,S
579,3,female,,1,0,14.4583,C
580,3,male,32.0,0,0,7.925,S
582,1,female,39.0,1,1,110.8833,C
583,2,male,54.0,0,0,26.0,S
584,1,male,36.0,0,0,40.125,C
585,3,male,,0,0,8.7125,C
587,2,male,47.0,0,0,15.0,S
588,1,male,60.0,1,1,79.2,C
590,3,male,,0,0,8.05,S
591,3,male,35.0,0,0,7.125,S
593,3,male,47.0,0,0,7.25,S
598,3,male,49.0,0,0,0.0,S
600,1,male,49.0,1,0,56.9292,C
601,2,female,24.0,2,1,27.0,S
602,3,male,,0,0,7.8958,S
604,3,male,44.0,0,0,8.05,S
605,1,male,35.0,0,0,26.55,C
606,3,male,36.0,1,0,15.55,S
607,3,male,30.0,0,0,7.8958,S
608,1,male,27.0,0,0,30.5,S
609,2,female,22.0,1,2,41.5792,C
610,1,female,40.0,0,0,153.4625,S
611,3,female,39.0,1,5,31.275,S
612,3,male,,0,0,7.05,S
613,3,female,,1,0,15.5,Q
616,2,female,24.0,1,2,65.0,S
617,3,male,34.0,1,1,14.4,S
619,2,female,4.0,2,1,39.0,S
620,2,male,26.0,0,0,10.5,S
622,1,male,42.0,1,0,52.5542,S
623,3,male,20.0,1,1,15.7417,C
624,3,male,21.0,0,0,7.8542,S
627,2,male,57.0,0,0,12.35,Q
631,1,male,80.0,0,0,30.0,S
632,3,male,51.0,0,0,7.0542,S
633,1,male,32.0,0,0,30.5,C
636,2,female,28.0,0,0,13.0,S
637,3,male,32.0,0,0,7.925,S
638,2,male,31.0,1,1,26.25,S
640,3,male,,1,0,16.1,S
641,3,male,20.0,0,0,7.8542,S
642,1,female,24.0,0,0,69.3,C
644,3,male,,0,0,56.4958,S
645,3,female,0.75,2,1,19.2583,C
648,1,male,56.0,0,0,35.5,C
650,3,female,23.0,0,0,7.55,S
651,3,male,,0,0,7.8958,S
652,2,female,18.0,0,1,23.0,S
653,3,male,21.0,0,0,8.4333,S
654,3,female,,0,0,7.8292,Q
655,3,female,18.0,0,0,6.75,Q
656,2,male,24.0,2,0,73.5,S
660,1,male,58.0,0,2,113.275,C
661,1,male,50.0,2,0,133.65,S
662,3,male,40.0,0,0,7.225,C
667,2,male,25.0,0,0,13.0,S
668,3,male,,0,0,7.775,S
670,1,female,,1,0,52.0,S
671,2,female,40.0,1,1,39.0,S
677,3,male,24.5,0,0,8.05,S
679,3,female,43.0,1,6,46.9,S
680,1,male,36.0,0,1,512.3292,C
681,3,female,,0,0,8.1375,Q
682,1,male,27.0,0,0,76.7292,C
683,3,male,20.0,0,0,9.225,S
684,3,male,14.0,5,2,46.9,S
685,2,male,60.0,1,1,39.0,S
687,3,male,14.0,4,1,39.6875,S
688,3,male,19.0,0,0,10.1708,S
689,3,male,18.0,0,0,7.7958,S
691,1,male,31.0,1,0,57.0,S
693,3,male,,0,0,56.4958,S
694,3,male,25.0,0,0,7.225,C
695,1,male,60.0,0,0,26.55,S
696,2,male,52.0,0,0,13.5,S
698,3,female,,0,0,7.7333,Q
700,3,male,42.0,0,0,7.65,S
701,1,female,18.0,1,0,227.525,C
704,3,male,25.0,0,0,7.7417,Q
705,3,male,26.0,1,0,7.8542,S
706,2,male,39.0,0,0,26.0,S
707,2,female,45.0,0,0,13.5,S
708,1,male,42.0,0,0,26.2875,S
710,3,male,,1,1,15.2458,C
711,1,female,24.0,0,0,49.5042,C
712,1,male,,0,0,26.55,S
713,1,male,48.0,1,0,52.0,S
714,3,male,29.0,0,0,9.4833,S
716,3,male,19.0,0,0,7.65,S
717,1,female,38.0,0,0,227.525,C
718,2,female,27.0,0,0,10.5,S
721,2,female,6.0,0,1,33.0,S
722,3,male,17.0,1,0,7.0542,S
723,2,male,34.0,0,0,13.0,S
724,2,male,50.0,0,0,13.0,S
725,1,male,27.0,1,0,53.1,S
726,3,male,20.0,0,0,8.6625,S
727,2,female,30.0,3,0,21.0,S
728,3,female,,0,0,7.7375,Q
729,2,male,25.0,1,0,26.0,S
730,3,female,25.0,1,0,7.925,S
734,2,male,23.0,0,0,13.0,S
735,2,male,23.0,0,0,13.0,S
736,3,male,28.5,0,0,16.1,S
737,3,female,48.0,1,3,34.375,S
740,3,male,,0,0,7.8958,S
742,1,male,36.0,1,0,78.85,S
743,1,female,21.0,2,2,262.375,C
745,3,male,31.0,0,0,7.925,S
747,3,male,16.0,1,1,20.25,S
748,2,female,30.0,0,0,13.0,S
749,1,male,19.0,1,0,53.1,S
750,3,male,31.0,0,0,7.75,Q
752,3,male,6.0,0,1,12.475,S
756,2,male,0.67,1,1,14.5,S
757,3,male,28.0,0,0,7.7958,S
758,2,male,18.0,0,0,11.5,S
759,3,male,34.0,0,0,8.05,S
762,3,male,41.0,0,0,7.125,S
763,3,male,20.0,0,0,7.2292,C
765,3,male,16.0,0,0,7.775,S
766,1,female,51.0,1,0,77.9583,S
767,1,male,,0,0,39.6,C
768,3,female,30.5,0,0,7.75,Q
770,3,male,32.0,0,0,8.3625,S
771,3,male,24.0,0,0,9.5,S
772,3,male,48.0,0,0,7.8542,S
773,2,female,57.0,0,0,10.5,S
774,3,male,,0,0,7.225,C
775,2,female,54.0,1,3,23.0,S
776,3,male,18.0,0,0,7.75,S
778,3,female,5.0,0,0,12.475,S
779,3,male,,0,0,7.7375,Q
781,3,female,13.0,0,0,7.2292,C
782,1,female,17.0,1,0,57.0,S
783,1,male,29.0,0,0,30.0,S
786,3,male,25.0,0,0,7.25,S
787,3,female,18.0,0,0,7.4958,S
788,3,male,8.0,4,1,29.125,Q
789,3,male,1.0,1,2,20.575,S
790,1,male,46.0,0,0,79.2,C
792,2,male,16.0,0,0,26.0,S
795,3,male,25.0,0,0,7.8958,S
796,2,male,39.0,0,0,13.0,S
797,1,female,49.0,0,0,25.9292,S
799,3,male,30.0,0,0,7.2292,C
801,2,male,34.0,0,0,13.0,S
802,2,female,31.0,1,1,26.25,S
803,1,male,11.0,1,2,120.0,S
805,3,male,27.0,0,0,6.975,S
807,1,male,39.0,0,0,0.0,S
808,3,female,18.0,0,0,7.775,S
809,2,male,39.0,0,0,13.0,S
810,1,female,33.0,1,0,53.1,S
811,3,male,26.0,0,0,7.8875,S
812,3,male,39.0,0,0,24.15,S
813,2,male,35.0,0,0,10.5,S
814,3,female,6.0,4,2,31.275,S
815,3,male,30.5,0,0,8.05,S
818,2,male,31.0,1,1,37.0042,C
820,3,male,10.0,3,2,27.9,S
822,3,male,27.0,0,0,8.6625,S
823,1,male,38.0,0,0,0.0,S
824,3,female,27.0,0,1,12.475,S
825,3,male,2.0,4,1,39.6875,S
827,3,male,,0,0,56.4958,S
828,2,male,1.0,0,2,37.0042,C
829,3,male,,0,0,7.75,Q
831,3,female,15.0,1,0,14.4542,C
832,2,male,0.83,1,1,18.75,S
833,3,male,,0,0,7.2292,C
835,3,male,18.0,0,0,8.3,S
836,1,female,39.0,1,1,83.1583,C
837,3,male,21.0,0,0,8.6625,S
838,3,male,,0,0,8.05,S
839,3,male,32.0,0,0,56.4958,S
841,3,male,20.0,0,0,7.925,S
842,2,male,16.0,0,0,10.5,S
846,3,male,42.0,0,0,7.55,S
847,3,male,,8,2,69.55,S
849,2,male,28.0,0,1,33.0,S
851,3,male,4.0,4,2,31.275,S
852,3,male,74.0,0,0,7.775,S
855,2,female,44.0,1,0,26.0,S
857,1,female,45.0,1,1,164.8667,S
858,1,male,51.0,0,0,26.55,S
859,3,female,24.0,0,3,19.2583,C
860,3,male,,0,0,7.2292,C
861,3,male,41.0,2,0,14.1083,S
863,1,female,48.0,0,0,25.9292,S
865,2,male,24.0,0,0,13.0,S
867,2,female,27.0,1,0,13.8583,C
868,1,male,31.0,0,0,50.4958,S
870,3,male,4.0,1,1,11.1333,S
871,3,male,26.0,0,0,7.8958,S
872,1,female,47.0,1,1,52.5542,S
874,3,male,47.0,0,0,9.0,S
875,2,female,28.0,1,0,24.0,C
876,3,female,15.0,0,0,7.225,C
877,3,male,20.0,0,0,9.8458,S
878,3,male,19.0,0,0,7.8958,S
881,2,female,25.0,0,1,26.0,S
882,3,male,33.0,0,0,7.8958,S
883,3,female,22.0,0,0,10.5167,S
884,2,male,28.0,0,0,10.5,S
885,3,male,25.0,0,0,7.05,S
886,3,female,39.0,0,5,29.125,Q
888,1,female,19.0,0,0,30.0,S
889,3,female,,1,2,23.45,S
